,Ref,Title,Organization,Team_Name,Mapped_Team
110,I-353474,ITG~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
111,I-353473,DEV~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
112,I-353392,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
113,I-353391,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
114,I-353388,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
115,I-353111,H4P : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
116,I-352857,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
117,I-352634,H4P : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
118,I-352255,H4P : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
119,I-352057,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
120,I-352055,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
121,I-351913,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
122,I-351533,PRD~ABAP~srv-prd-as-4_PRD_40 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
123,I-351532,JOL~JAVA~srv-prd-solm1_JOL_02 : Java instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
124,I-350894,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
125,I-350738,H4P : Licensed Memory Usage,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
126,I-350663,ITG~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
127,I-350457,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
128,I-350377,ITG~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
129,I-350293,H4P : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
130,I-349500,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
131,I-349498,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
132,I-348945,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
133,I-348915,PRD~ABAP~srv-prd-as-3_PRD_30 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
134,I-348858,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
135,I-348587,PRD~ABAP~srv-prd-as-1_PRD_10 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
136,I-348495,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
137,I-348382,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
138,I-348282,SOL~ABAP~srv-prd-solm1_SOL_00 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
139,I-348172,PRD~ABAP~srv-prd-as-1_PRD_10 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
140,I-347917,PRD~ABAP~srv-prd-as-3_PRD_30 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
141,I-347789,PRD~ABAP~srv-prd-as-2_PRD_20 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
142,I-347676,PRD~ABAP~srv-prd-as-1_PRD_10 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
143,I-347572,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
144,I-347450,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
145,I-347449,PRD~ABAP~srv-prd-as-4_PRD_40 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
146,I-347376,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
147,I-347367,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
148,I-347173,PRD~ABAP~srv-prd-as-4_PRD_40 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
149,I-347172,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
150,I-347166,CENTREON : The service Disk-/backup on srv-prd-solm1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
151,I-347165,srv-prd-solm1 : File System Full,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
152,I-347083,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
153,I-347013,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
154,I-346901,JOL~JAVA : Java System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
155,I-346846,PRD~ABAP~srv-prd-as-4_PRD_40 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
156,I-346833,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
157,I-346831,JOL~JAVA : Java System not available,Als,[GDC_WW]_OneOps,[GDC_WW]_OneOps
158,I-346828,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
159,I-346825,PRD~ABAP~srv-prd-as-1_PRD_10 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
160,I-346802,srv-prd-solm1 : File System Full,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
161,I-346795,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
162,I-346781,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
163,I-346777,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
164,I-346748,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
165,I-346717,H4P : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
166,I-346684,CENTREON : The service Load on srv-dev-as1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
167,I-346616,Serveur de rebond inaccessible,Als,[GDC_FR]_SecOps,[GDC_FR]_SecOps
168,I-346582,PRD~ABAP~srv-prd-as-1_PRD_10 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
169,I-346579,PRD~ABAP~srv-prd-as-4_PRD_40 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
170,I-346578,PRD~ABAP~srv-prd-as-2_PRD_20 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
171,I-346577,PRD~ABAP~srv-prd-as-3_PRD_30 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
172,I-346501,PRD~ABAP~srv-prd-as-1_PRD_10 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
173,I-346488,PRD~ABAP~srv-prd-as-2_PRD_20 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
174,I-346485,PRD~ABAP~srv-prd-as-3_PRD_30 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
175,I-346471,PRD~ABAP~srv-prd-as-4_PRD_40 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
176,I-346443,PRD~ABAP~srv-prd-as-2_PRD_20 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
177,I-346421,srv-prd-solm1 : File System Full,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
178,I-346399,PRD~ABAP~srv-prd-as-3_PRD_30 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
179,I-346398,PRD~ABAP~srv-prd-as-4_PRD_40 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
180,I-346396,PRD~ABAP~srv-prd-as-2_PRD_20 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
181,I-346323,PRD~ABAP~srv-prd-as-2_PRD_20 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
182,I-346313,PRD~ABAP~srv-prd-as-2_PRD_20 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
183,I-346309,PRD~ABAP~srv-prd-as-1_PRD_10 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
184,I-346307,PRD~ABAP~srv-prd-as-2_PRD_20 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
185,I-346305,PRD~ABAP~srv-prd-as-3_PRD_30 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
186,I-346303,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
187,I-346296,PRD~ABAP~srv-prd-as-4_PRD_40 : High Number of ABAP Short Dumps,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
188,I-346222,JOL~JAVA : Java System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
189,I-345886,PRD~ABAP~srv-prd-as-2_PRD_20 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
